"year","est","lwr","upr","log_est","se"
2003,46992.2566995814,31799.4506044208,69443.7214400288,10.7577381160465,0.237427706404387
2004,31913.9110573383,23746.0320733022,42891.2803550366,10.3707972770184,0.179728182050554
2005,21402.8732731945,14893.7098587534,30756.8086590054,9.97128045709974,0.220436764396017
2006,26929.2840841151,19289.9950650094,37593.910150781,10.2009696011268,0.202831270571442
2007,19740.3325776191,14593.8113856359,26701.7792664196,9.89041916074925,0.183643283305629
2008,24657.9166464269,18591.9585038751,32703.0018497195,10.1128532900362,0.17166807896748
2009,16260.7699445842,11834.7663361709,22342.0244793988,9.69651073404618,0.193156369992723
2010,26304.3592309303,17896.4022374147,38662.4811719578,10.1774899546563,0.234145439473608
2011,32679.2964371401,23437.0438515303,45566.1738908572,10.3944970198909,0.20209938091473
2012,26907.9026791603,19702.6451907852,36748.1228830018,10.2001753023395,0.189480156700044
2013,39749.8242226389,28538.3268683303,55365.8430299958,10.5903606980007,0.201451015065351
2014,39177.280139351,28035.1470726773,54747.6806573645,10.5758522694705,0.203445467368791
2015,44408.4360893193,31386.3822947357,62833.2751885817,10.7011847323839,0.210994664662235
2016,23852.038415472,16644.2020180882,34181.2563891542,10.0796249608183,0.218747581730735
2017,21279.4187419593,16521.7952983063,27407.0495257901,9.96549562832497,0.153849502944538
2018,14751.7082443557,11230.087804962,19377.6664889868,9.5991141682388,0.165827704837679
2019,20113.7982173618,14720.7384633207,27482.6483560448,9.90916133700431,0.189772982543833
2020,18934.8129750088,14844.2946337352,24152.5213049714,9.84875746307607,0.147968541655839
2021,13389.4615190361,10273.4791175062,17450.5323580457,9.50222322271869,0.161049109617059
2022,11304.463311846,8517.20539019433,15003.8521926448,9.33295291006425,0.172118263445128
