sdreport(.) result
          Estimate Std. Error
b_j     3.12404217 0.54311337
b_j     3.21094377 0.61216797
b_j     3.57305329 0.52914160
b_j     3.29226932 0.60836994
b_j     3.88136846 0.55008961
b_j     2.86530945 0.61583833
b_j     3.37267119 0.53050907
b_j     2.76654225 0.60926295
b_j     3.29019834 0.51395814
b_j    -0.96862161 0.30445870
b_j     0.24197400 0.16552388
b_j    -0.34688904 0.36457276
b_j    -0.10019822 0.02150548
b_j2    1.98261571 0.24501317
b_j2    2.48924285 0.28727655
b_j2    2.14666671 0.23970280
b_j2    2.10301566 0.28409043
b_j2    2.27835855 0.23772028
b_j2    1.98084559 0.28773036
b_j2    2.06073059 0.24410750
b_j2    2.23210254 0.28808969
b_j2    1.65207981 0.23420130
b_j2   -0.50648031 0.14423663
b_j2   -0.03495856 0.09554629
b_j2   -1.09442648 0.17395192
b_j2   -0.03947602 0.01003615
ln_phi -0.07165985 0.03262716
Maximum gradient component: 3.351265e-06 
