code,vessel
1995111,Michael Sars (LHUW)
1995211,Johan Hjort (LDGJ)
1995810,Volstad (JXVF)
1995811,Hans Robert (LK4579)
1996214,Johan Hjort (LDGJ)
1997213,Johan Hjort (LDGJ)
1998016,G.O.Sars (LLZG)
1999215,Johan Hjort (LDGJ)
2000214,Johan Hjort (LDGJ)
2001213,Johan Hjort (LDGJ)
2002214,Johan Hjort (LDGJ)
2003211,Johan Hjort (LDGJ)
2003706,Jan Mayen (LAHV)
2004212,Johan Hjort (LDGJ)
2004704,Jan Mayen (LAHV)
2005212,Johan Hjort (LDGJ)
2005704,Jan Mayen (LAHV)
2006213,Johan Hjort (LDGJ)
2006623,Håkon Mosby (LJIT)
2006705,Jan Mayen (LAHV)
2007212,Johan Hjort (LDGJ)
2007623,Håkon Mosby (LJIT)
2007703,Jan Mayen (LAHV)
2008210,Johan Hjort (LDGJ)
2008623,Håkon Mosby (LJIT)
2008705,Jan Mayen (LAHV)
2009209,Johan Hjort (LDGJ)
2009629,Håkon Mosby (LJIT)
2009703,Jan Mayen (LAHV)
2009704,Jan Mayen (LAHV)
2010211,Johan Hjort (LDGJ)
2010704,Jan Mayen (LAHV)
2011214,Johan Hjort (LDGJ)
2011722,Helmer Hanssen (LAHV)
2011723,Helmer Hanssen (LAHV)
2012210,Johan Hjort (LDGJ)
2012620,Håkon Mosby (LJIT)
2013210,Johan Hjort (LDGJ)
2013623,Håkon Mosby (LJIT)
2013851,Helmer Hanssen (LAHV)
2014011,Helmer Hanssen (LAHV)
2014213,Johan Hjort (LDGJ)
2014621,Håkon Mosby (LJIT)
2015211,Johan Hjort (LDGJ)
2015621,Håkon Mosby (LJIT)
2015854,Helmer Hanssen (LAHV)
2016210,Johan Hjort (LDGJ)
2016620,Håkon Mosby (LJIT)
2017210,Johan Hjort (LDGJ)
2017620,Kristine Bonnevie (LGWS)
2018210,Johan Hjort (LDGJ)
2018623,Kristine Bonnevie (LGWS)
2019210,Johan Hjort (LDGJ)
2019629,Kristine Bonnevie (LGWS)
2020210,Johan Hjort (LDGJ)
2020620,Kristine Bonnevie (LGWS)
2021210,Johan Hjort (LDGJ)
2021624,Kristine Bonnevie (LGWS)
2022211,Johan Hjort (LDGJ)
2022626,Kristine Bonnevie (LGWS)
