"Year","Ton.mean","Ton.5%","Ton.95%","Ton.sd","Ton.cv"
2003,5998.96760161989,3031.11612333498,10708.6946801047,2302.82208662722,0.38386973218615
2004,8403.83344784898,4595.14231338465,12910.2259035191,2656.70905810397,0.316130617603324
2005,4429.64226584752,2274.68656350728,6738.66752968493,1335.57430899289,0.30150839025764
2006,5559.66970198208,3437.13369300747,7464.11121974447,1208.98869743784,0.217456928602579
2007,5567.80134780825,2409.63560195786,10039.4032659523,2309.00325991214,0.414706473107391
2008,7063.71401478032,4838.19210064378,9090.84782400709,1303.98119462303,0.184602772973897
2009,6791.35646469367,2866.60197637138,10923.3454499245,2460.65084442027,0.362320967425652
2010,6512.95642922925,2907.91101759402,10427.7533531039,2216.4877185481,0.340319752271152
2011,10943.9658701752,6089.72417291669,15621.2543706403,3008.78472325663,0.274926362065533
2012,6971.39651188927,2943.53489250317,12361.1231485884,2923.24621485699,0.419320032919026
2013,12336.1287188073,5026.20718842373,23320.9752975797,5873.45144433772,0.476117879297353
2014,6280.34238453011,3166.3234240244,10084.7089480922,2149.56891426385,0.342269383204126
2015,7381.46065707037,4381.58816253186,10547.4346596597,1941.99031230752,0.26309024765273
2016,5094.58799180838,3673.10960996842,6624.99333411547,903.200496758606,0.177286268921229
2017,3474.99309849529,2469.28205496642,4496.09244990349,655.354649647935,0.188591640637132
2018,3117.37495395189,1674.85633636204,4764.63937493467,932.236067732816,0.299045216409088
2019,7926.09435033972,3755.13856169519,13659.1328313994,3109.63776154282,0.392329137667852
2020,4542.13818378131,2820.36776693538,6699.67375970218,1230.52228311864,0.270912559972853
2021,2476.79827196812,1240.61431233998,3995.67705483467,825.920237673342,0.333462860912386
2022,1915.55945610025,1301.94430935343,2650.02976131166,416.393694378729,0.21737445582944
