sdreport(.) result
            Estimate Std. Error
b_j       2.02118264 0.29139811
b_j       2.46879187 0.47651414
b_j       2.18704368 0.28685385
b_j       2.15655434 0.47427499
b_j       2.25881917 0.28809863
b_j       1.78989824 0.47931465
b_j       1.95238801 0.29085190
b_j       2.07586827 0.47531250
b_j       1.62692616 0.28636967
b_j      -0.79511419 0.38883991
b_j       0.03821059 0.08648003
b_j      -1.10140168 0.17733545
b_j      -0.05891115 0.01067486
ln_tau_O  1.70646154 0.33925501
ln_kappa -2.38416138 0.30382417
thetaf    0.16237084 0.04397888
ln_phi    0.54233920 0.02945481
Maximum gradient component: 1.097464e-07 
