sdreport(.) result
                    Estimate  Std. Error
b_j              3.917075084  0.74923697
b_j              3.743306116  0.68402319
b_j              4.306651782  0.74050695
b_j              3.873562144  0.67925889
b_j              4.574670100  0.75579816
b_j              3.362603746  0.68309520
b_j              3.969686392  0.72709684
b_j              3.197297313  0.67349772
b_j              3.957872568  0.72314487
b_j             -1.407152814  0.64870831
b_j              0.255842931  0.17158976
b_j             -0.514438874  0.38665610
b_j             -0.115323951  0.02312184
b_j2             1.591773161  0.30559752
b_j2             2.616175032  0.31302107
b_j2             1.727524249  0.30547847
b_j2             2.212181093  0.30712387
b_j2             1.792484350  0.30594028
b_j2             1.998493145  0.30943696
b_j2             1.554019685  0.30796699
b_j2             2.288576319  0.31150938
b_j2             1.183767709  0.30239979
b_j2            -0.091342333  0.28137715
b_j2            -0.055760489  0.09291832
b_j2            -1.198394294  0.17897207
b_j2            -0.040629027  0.01050124
bs              -3.039783271  9.01411400
bs              -2.189357065 10.14176898
bs              -3.478219564  4.13773191
bs               5.707717738  4.67567890
ln_phi          -0.002336496  0.03319625
ln_smooth_sigma  1.847510001  0.27921009
ln_smooth_sigma  1.172861148  0.22097592
Maximum gradient component: 1.912509e-07 
