sdreport(.) result
            Estimate Std. Error
b_j       0.80423667 0.20168035
b_j       1.11977919 0.43405534
b_j       0.90179408 0.18218623
b_j       0.80108344 0.43357803
b_j       0.98669371 0.18309071
b_j       0.40429221 0.43460584
b_j       0.65729482 0.17905719
b_j       0.70664531 0.43052616
b_j       0.37048543 0.18076607
b_j      -0.72497016 0.40352091
b_j       0.04605384 0.08645285
b_j      -0.20543699 0.07251297
ln_tau_O  1.55522475 0.32210119
ln_tau_E  2.33427324 0.41713737
ln_kappa -2.25234536 0.26631581
thetaf    0.15140319 0.04455944
ln_phi    0.53115333 0.03050393
Maximum gradient component: 5.166262e-08 
