"age","model","pdHess","maxgr.ok","maxgr","no.na.se","aic"
0,"base",TRUE,TRUE,9.60189405248002e-05,TRUE,1619.88970271141
1,"base",TRUE,TRUE,0.000120896423245975,TRUE,4434.95574483853
2,"base",TRUE,FALSE,0.0011223093262851,TRUE,4517.5373512477
3,"base",TRUE,TRUE,0.000577977230848958,TRUE,3148.0745028176
4,"base",TRUE,TRUE,0.000177585000376013,TRUE,1936.61419031074
5,"base",TRUE,TRUE,6.10306076369582e-05,TRUE,1167.81250807689
0,"base_spatial",TRUE,TRUE,0.000308994916113248,TRUE,1607.40461705794
1,"base_spatial",TRUE,FALSE,0.00113544960345968,TRUE,4271.45574206995
2,"base_spatial",TRUE,FALSE,0.00104132435056847,TRUE,4467.9249124587
3,"base_spatial",TRUE,TRUE,0.000788836150014127,TRUE,3114.99453408561
4,"base_spatial",TRUE,TRUE,0.000307052805115227,TRUE,1912.74980575839
5,"base_spatial",TRUE,TRUE,5.76117009222221e-05,TRUE,1155.12105044193
0,"base_st",TRUE,TRUE,7.19929504650052e-05,TRUE,1601.41589261076
1,"base_st",TRUE,FALSE,0.00135857547401308,TRUE,4268.6910516552
2,"base_st",TRUE,TRUE,0.000371348758201329,TRUE,4454.06229357729
3,"base_st",TRUE,FALSE,0.00107886768453791,TRUE,3113.39871874921
4,"base_st",TRUE,TRUE,0.000139091478561948,TRUE,1914.63918746781
5,"base_st",TRUE,TRUE,7.82204834059996e-06,TRUE,1157.12105055819
0,"base_siteRE",TRUE,TRUE,0.000427023667300741,TRUE,1607.75980932887
1,"base_siteRE",TRUE,FALSE,0.00116393942790438,TRUE,4275.89857497045
2,"base_siteRE",TRUE,TRUE,0.000301529467505723,TRUE,4469.55731234015
3,"base_siteRE",TRUE,FALSE,0.00105839286913323,TRUE,3111.94655907161
4,"base_siteRE",TRUE,TRUE,0.000532231382887716,TRUE,1904.77128878034
5,"base_siteRE",TRUE,TRUE,0.000313745467691917,TRUE,1154.54436314503
0,"base_lat",TRUE,TRUE,2.16397621031206e-05,TRUE,1617.92138892519
1,"base_lat",TRUE,TRUE,2.33445412919919e-05,TRUE,4435.65511914888
2,"base_lat",TRUE,TRUE,0.000708039021304785,TRUE,4518.99761081384
3,"base_lat",TRUE,TRUE,1.35808281819527e-05,TRUE,3143.2748328312
4,"base_lat",TRUE,TRUE,0.000134979566183802,TRUE,1938.36027793687
5,"base_lat",TRUE,TRUE,0.000214127925779906,TRUE,1165.10292521801
0,"base_latsmooth",TRUE,TRUE,7.51403616615852e-06,TRUE,1619.92138910373
1,"base_latsmooth",TRUE,TRUE,0.00054186478841306,TRUE,4403.20243004162
2,"base_latsmooth",TRUE,FALSE,0.00484796520354877,TRUE,4517.58402646434
3,"base_latsmooth",TRUE,TRUE,0.000484445648706783,TRUE,3138.1942169628
4,"base_latsmooth",TRUE,TRUE,4.92983928059549e-05,TRUE,1940.36027819156
5,"base_latsmooth",TRUE,TRUE,0.000101726431723697,TRUE,1154.4812906482
0,"base_2dsmooth",TRUE,TRUE,2.870198699274e-06,TRUE,1619.43422559206
1,"base_2dsmooth",TRUE,TRUE,0.000267442217320779,TRUE,4348.80034076271
2,"base_2dsmooth",TRUE,TRUE,0.000410083522358329,TRUE,4511.77837753547
3,"base_2dsmooth",TRUE,TRUE,5.41201109036105e-05,TRUE,3132.21011427511
4,"base_2dsmooth",TRUE,TRUE,5.40083951814934e-05,TRUE,1936.05154884268
5,"base_2dsmooth",TRUE,TRUE,1.26283721575415e-05,TRUE,1154.32992033913
